id|titolo|autore|anno|synopsis|collocazione
185|"La mano sinistra del buio"|"Le Guin, Ursula K."|1991|"Un inviato terrestre arriva sul pianeta Inverno, i cui abitanti sono androgini e possono cambiare sesso. Un romanzo di fantascienza antropologica, che esplora i temi del genere, della cultura e della comunicazione. Ursula K. Le Guin, con la sua scrittura profonda e poetica, ci regala un'opera che ha rivoluzionato il genere e che è un potente messaggio di tolleranza e di comprensione."|FANTASCIENZA LEG
186|"Ventimila leghe sotto i mari"|"Verne, Jules"|1995|"Il professor Aronnax, il suo servo Conseil e il fiociniere Ned Land vengono catturati dal misterioso Capitano Nemo a bordo del suo sottomarino, il Nautilus. Inizia così un viaggio straordinario attraverso le meraviglie e i pericoli degli abissi marini. Un classico del romanzo d'avventura e uno dei precursori della fantascienza. Un libro che unisce la fantasia alla divulgazione scientifica, e che ha fatto sognare generazioni di lettori."|Letteratura - Opere 843.8 VER
187|"Viaggio al centro della Terra"|"Verne, Jules"|1995|"Il professor Lidenbrock trova un antico manoscritto che rivela un passaggio verso il centro della Terra. Insieme a suo nipote Axel e a una guida islandese, si cala nelle viscere di un vulcano spento e inizia un'avventura incredibile, tra mari sotterranei, funghi giganti e creature preistoriche. Un altro grande classico di Jules Verne, che celebra lo spirito di avventura e la sete di conoscenza."|Letteratura - Opere 843.8 VER
188|"Giro del mondo in 80 giorni"|"Verne, Jules"|1995|"Il metodico e flemmatico gentiluomo inglese Phileas Fogg scommette di riuscire a compiere il giro del mondo in 80 giorni. Insieme al suo fedele servitore Passepartout, parte per un viaggio rocambolesco, utilizzando tutti i mezzi di trasporto disponibili all'epoca. Un'avventura avvincente e piena di colpi di scena, che è un omaggio al progresso tecnologico e allo spirito di scoperta dell'Ottocento."|Letteratura - Opere 843.8 VER
189|"I viaggi di Gulliver"|"Swift, Jonathan"|1995|"Lemuel Gulliver, un chirurgo di bordo, naufraga e si ritrova in luoghi fantastici: a Lilliput, abitata da uomini minuscoli; a Brobdingnag, abitata da giganti; a Laputa, un'isola volante; e nel paese degli Houyhnhnm, cavalli razionali che dominano gli Yahoo, creature simili a uomini abbrutiti. Un classico della letteratura per ragazzi che è in realtà una feroce satira della società, della politica e della natura umana."|Letteratura - Opere 823.5 SWI
190|"Le avventure di Robinson Crusoe"|"Defoe, Daniel"|1995|"Robinson Crusoe, dopo un naufragio, si ritrova a essere l'unico sopravvissuto su un'isola deserta. Con ingegno e tenacia, riesce a sopravvivere e a ricreare una parvenza di civiltà. Il romanzo che ha dato inizio al genere ""robinsonade"". Un'opera che celebra l'individualismo, la razionalità e la capacità dell'uomo di dominare la natura. Un classico della letteratura inglese."|Letteratura - Opere 823.5 DEF
191|"Il richiamo della foresta"|"London, Jack"|2000|"Buck è un cane domestico che viene rapito e portato nel Klondike, durante la corsa all'oro. Lì, è costretto a diventare un cane da slitta e a riscoprire i suoi istinti primordiali, fino a rispondere al ""richiamo della foresta"" e a unirsi a un branco di lupi. Un romanzo di avventura che è anche una riflessione sulla natura, sulla civiltà e sulla lotta per la sopravvivenza. Un capolavoro di Jack London."|Letteratura - Opere 813.5 LON
192|"Zanna Bianca"|"London, Jack"|2000|"La storia di Zanna Bianca, un lupo per tre quarti e un cane per un quarto, che vive nelle gelide terre del Nord America. Il romanzo racconta la sua vita, dalla nascita alla maturità, e il suo difficile rapporto con gli uomini. Un'opera che esplora i temi della violenza, della crudeltà, ma anche dell'amore e della fedeltà. Il romanzo ""speculare"" de ""Il richiamo della foresta""."|Letteratura - Opere 813.5 LON
193|"Il vecchio e il mare"|"Hemingway, Ernest"|1996|"Santiago è un vecchio pescatore cubano che da 84 giorni non riesce a pescare nulla. Decide di spingersi da solo al largo, e riesce a catturare un marlin enorme. Inizia così una lotta epica di tre giorni contro il pesce e contro le forze della natura. Un racconto breve ma potentissimo, che è un'allegoria della lotta, della sconfitta e della dignità umana. Un capolavoro che valse a Hemingway il Premio Nobel."|Letteratura - Opere 813.5 HEM
194|"Per chi suona la campana"|"Hemingway, Ernest"|1995|"Durante la guerra civile spagnola, Robert Jordan, un volontario americano, viene incaricato di far saltare un ponte per aiutare un'offensiva repubblicana. In tre giorni, tra i partigiani, troverà l'amore, l'amicizia e la morte. Un romanzo che parla di guerra, di politica, di coraggio e di solidarietà. Un'opera potente, che riflette sulla brutalità del conflitto e sul senso dell'impegno."|Letteratura - Opere 813.5 HEM
195|"Furore"|"Steinbeck, John"|1995|"La storia della famiglia Joad, contadini dell'Oklahoma che, durante la Grande Depressione, sono costretti ad abbandonare la loro terra e a migrare verso la California, la ""terra promessa"". Un viaggio drammatico, segnato dalla povertà, dallo sfruttamento e dalla perdita della dignità. Un grande romanzo sociale, che denuncia le ingiustizie del capitalismo e che celebra la resilienza e la solidarietà umana. Un capolavoro che valse a Steinbeck il Premio Nobel."|Letteratura - Opere 813.5 STE
196|"Uomini e topi"|"Steinbeck, John"|1995|"George e Lennie sono due braccianti stagionali che sognano di comprare un pezzo di terra e di vivere del proprio lavoro. Ma Lennie, un gigante buono con la mente di un bambino, si mette sempre nei guai. Un racconto breve e intenso, che parla di amicizia, di solitudine e dell'impossibilità di realizzare i propri sogni. Una tragedia potente e commovente, che è un classico della letteratura americana."|Letteratura - Opere 813.5 STE
197|"La valle dell'Eden"|"Steinbeck, John"|1995|"Una saga familiare che ripercorre la storia di due famiglie, i Trask e gli Hamilton, nella Salinas Valley, in California. Il romanzo è una rilettura moderna del mito di Caino e Abele, e esplora i temi del bene e del male, del libero arbitrio e del peccato originale. Un'opera epica e complessa, considerata da Steinbeck il suo capolavoro."|Letteratura - Opere 813.5 STE
198|"Sulla strada"|"Kerouac, Jack"|1995|"Il racconto dei viaggi attraverso l'America di Sal Paradise (alter ego di Kerouac) e del suo amico Dean Moriarty (alter ego di Neal Cassady). Un romanzo che è il manifesto della Beat Generation, un inno alla libertà, alla ribellione, al jazz, alla droga e alla ricerca di un'esperienza autentica. Scritto in tre settimane su un unico rotolo di carta, ha uno stile febbrile e spontaneo, che ha cambiato la letteratura americana."|Letteratura - Opere 813.5 KER
199|"Il grande Gatsby"|"Fitzgerald, F. Scott"|1995|"Negli anni '20, l'epoca del jazz e del proibizionismo, il misterioso e ricchissimo Jay Gatsby organizza feste sfarzose nella sua villa di Long Island, con un unico scopo: riconquistare la sua vecchia fiamma, Daisy, ora sposata con un uomo ricco e brutale. Un romanzo che è un ritratto scintillante e malinconico del sogno americano e della sua fragilità. Un capolavoro della letteratura del Novecento."|Letteratura - Opere 813.5 FIT
200|Dracula|"Stoker, Bram"|1993|"Jonathan Harker, un giovane avvocato inglese, si reca in Transilvania per affari, nel castello del Conte Dracula. Scoprirà presto la vera natura del suo ospite, un vampiro secolare che sta per trasferirsi a Londra in cerca di nuovo sangue. Il romanzo che ha creato il mito del vampiro moderno. Un capolavoro della letteratura gotica, che unisce l'orrore, la suspense e la sensualità."|Letteratura - Opere 823.8 STO
201|"Lo strano caso del dottor Jekyll e del signor Hyde"|"Stevenson, Robert Louis"|1995|"Il rispettabile dottor Jekyll, attraverso una pozione, riesce a separare la sua parte buona da quella malvagia, che prende le sembianze del mostruoso signor Hyde. Ma ben presto, la parte malvagia prenderà il sopravvento. Un racconto breve ma potentissimo, che è un'esplorazione del doppio e della dualità della natura umana. Un classico della letteratura fantastica."|Letteratura - Opere 823.8 STE
202|"Il giro di vite"|"James, Henry"|1995|"Una giovane istitutrice viene assunta per badare a due bambini in una remota casa di campagna. Ben presto, inizia a vedere le apparizioni di due fantasmi, l'ex istitutrice e il suo amante, e si convince che i bambini siano posseduti dal male. Un racconto gotico e psicologico, capolavoro di ambiguità. I fantasmi sono reali o sono frutto della mente disturbata della protagonista? Henry James lascia al lettore la risposta."|Letteratura - Opere 813.4 JAM
203|"Il cuore di tenebra"|"Conrad, Joseph"|1995|"Marlow, un marinaio, risale il fiume Congo per trovare Kurtz, un misterioso e geniale agente di una compagnia commerciale, che si è trasformato in un despota sanguinario. Un viaggio che è anche una discesa nelle tenebre della psiche umana e una critica feroce al colonialismo. Un romanzo breve ma denso e complesso, che ha ispirato il film ""Apocalypse Now""."|Letteratura - Opere 823.8 CON
204|"La macchina del tempo"|"Wells, H. G."|1995|"Uno scienziato costruisce una macchina del tempo e viaggia nell'anno 802.701. Lì, trova un'umanità divisa in due specie: gli Eloi, creature belle ma fragili, che vivono in superficie; e i Morlock, creature mostruose che vivono sottoterra e si cibano degli Eloi. Un romanzo che è uno dei capostipiti della fantascienza e una riflessione pessimistica sull'evoluzione umana e sulla lotta di classe."|Letteratura - Opere 823.91 WEL
205|"La guerra dei mondi"|"Wells, H. G."|1995|"I marziani invadono la Terra con le loro macchine da guerra, i Tripodi, e seminano morte e distruzione. Un romanzo che racconta l'invasione dal punto di vista di un testimone oculare, e che ha creato l'immaginario dell'invasione aliena. Un'opera che, all'epoca, suscitò un enorme scalpore (la celebre trasmissione radiofonica di Orson Welles ne è la prova) e che è un classico della fantascienza."|Letteratura - Opere 823.91 WEL
206|"I pilastri della Terra"|"Follett, Ken"|1990|"Nell'Inghilterra del XII secolo, le vite di diversi personaggi si intrecciano intorno alla costruzione di una cattedrale gotica. Un romanzo storico epico e avvincente, che unisce amore, guerra, intrighi politici e religiosi. Ken Follett ci regala un affresco grandioso del Medioevo, pieno di dettagli storici e di personaggi indimenticabili. Un bestseller mondiale, che ha appassionato milioni di lettori."|Letteratura - Opere 823.91 FOL
207|"Il Signore degli Anelli"|"Tolkien, J. R. R."|2003|"La storia della missione del giovane hobbit Frodo Baggins, che deve distruggere l'Unico Anello, un potente artefatto creato dall'Oscuro Signore Sauron. Un'opera monumentale, che ha creato un universo mitologico complesso e affascinante, con le sue razze, le sue lingue e la sua storia. Il capolavoro del genere fantasy, un'epopea sulla lotta tra il bene e il male, sull'amicizia e sul sacrificio."|Letteratura - Opere 823.91 TOL
208|"Lo Hobbit"|"Tolkien, J. R. R."|2003|"Bilbo Baggins è un hobbit tranquillo e abitudinario. La sua vita viene sconvolta quando il mago Gandalf e un gruppo di nani lo coinvolgono in un'avventura per recuperare un tesoro rubato da un drago. Il prequel de ""Il Signore degli Anelli"". Un romanzo più leggero e fiabesco, ma che già contiene in nuce tutto l'universo tolkieniano. Un classico della letteratura per ragazzi e non solo."|Letteratura - Opere 823.91 TOL
209|"Le cronache di Narnia"|"Lewis, C. S."|2005|"Quattro fratelli, durante la Seconda Guerra Mondiale, scoprono un passaggio per il mondo magico di Narnia, attraverso un armadio. Lì, vivranno avventure straordinarie e aiuteranno il leone Aslan a sconfiggere la Strega Bianca. Il primo volume di una saga fantasy che è anche un'allegoria cristiana. Un'opera che ha affascinato generazioni di lettori con la sua magia, i suoi personaggi e i suoi valori."|Letteratura - Opere 823.91 LEW
210|"La storia infinita"|"Ende, Michael"|1988|"Bastian, un bambino timido e grassoccio, legge un libro intitolato ""La storia infinita"" e si ritrova a essere risucchiato nel mondo di Fantàsia, che rischia di essere distrutto dal Nulla. Un romanzo che è un inno alla fantasia e al potere della lettura. Un'opera che si interroga sul rapporto tra realtà e finzione, e che ci ricorda che ogni lettore è anche un co-autore della storia che legge. Un classico della letteratura per ragazzi."|Letteratura - Opere 833.91 END
211|"Harry Potter e la pietra filosofale"|"Rowling, J. K."|1998|"Harry Potter scopre, nel giorno del suo undicesimo compleanno, di essere un mago e di essere stato ammesso alla Scuola di Magia e Stregoneria di Hogwarts. Lì, conoscerà i suoi migliori amici, Ron e Hermione, e scoprirà la verità sulla morte dei suoi genitori e sul suo acerrimo nemico, Lord Voldemort. Il primo volume della saga che ha cambiato la letteratura per ragazzi e che è diventata un fenomeno culturale mondiale."|RAGAZZI CDD 823 ROW
212|"Il piccolo principe"|"Saint-Exupéry, Antoine de"|2000|"Un aviatore, precipitato nel deserto, incontra un bambino dai capelli d'oro, il Piccolo Principe, che viene da un altro pianeta. Attraverso i suoi racconti, il Piccolo Principe ci insegna a guardare il mondo con gli occhi del cuore e a riscoprire i valori essenziali della vita: l'amicizia, l'amore, la responsabilità. Una favola poetica e filosofica, per bambini e per adulti, che è uno dei libri più letti e amati al mondo."|Letteratura - Opere 843.91 SAI
213|Il gabbiano Jonathan Livingston|"Bach, Richard"|1994|"Jonathan Livingston non è un gabbiano come gli altri. Non gli interessa litigare per il cibo, ma vuole solo imparare a volare alla perfezione, per raggiungere la libertà. Un racconto breve che è un'allegoria della ricerca della perfezione, della libertà e del superamento dei propri limiti. Un libro che ha avuto un enorme successo negli anni '70 e che è diventato un simbolo della controcultura."|Letteratura - Opere 813.5 BAC
214|"L'alchimista"|"Coelho, Paulo"|1995|"Santiago, un giovane pastore andaluso, intraprende un viaggio avventuroso verso le piramidi d'Egitto, alla ricerca di un tesoro. Un percorso che è anche un viaggio interiore, alla scoperta della propria ""Leggenda Personale"". Un romanzo di formazione spirituale, che unisce la favola alla filosofia. Un bestseller mondiale, che ha ispirato milioni di persone a seguire i propri sogni."|Letteratura - Opere 869.3 COE
215|Norwegian Wood|"Murakami, Haruki"|2006|"Toru Watanabe, un giovane studente universitario nella Tokyo degli anni '60, si trova diviso tra due amori: Naoko, una ragazza fragile e tormentata, e Midori, una ragazza solare e anticonformista. Un romanzo di formazione malinconico e delicato, che racconta l'amore, la perdita e la difficoltà di diventare adulti. Il libro che ha reso Murakami famoso in tutto il mondo."|Letteratura - Opere 895.63 MUR
216|Kafka sulla spiaggia|"Murakami, Haruki"|2008|"Le storie di due personaggi si intrecciano: Kafka Tamura, un quindicenne che scappa di casa per sfuggire a una terribile profezia, e Nakata, un anziano signore che sa parlare con i gatti. Un romanzo surreale, onirico e complesso, che unisce il mito di Edipo, la musica classica, la cultura pop e la filosofia. Un'opera affascinante e misteriosa, in pieno stile Murakami."|Letteratura - Opere 895.63 MUR
217|1Q84|"Murakami, Haruki"|2011|"Aomame, una killer professionista, e Tengo, un aspirante scrittore, si ritrovano in una realtà parallela, un anno che non è il 1984, ma l'1Q84, un mondo con due lune nel cielo. Un romanzo epico e visionario, che è un omaggio a Orwell e che esplora i temi cari a Murakami: l'amore, la solitudine, il destino e la ricerca di un'identità. Un'opera monumentale, divisa in tre volumi."|Letteratura - Opere 895.63 MUR
218|"Espiazione"|"McEwan, Ian"|2002|"Inghilterra, 1935. Briony, una ragazzina di tredici anni con una fervida immaginazione, fraintende una scena tra sua sorella Cecilia e Robbie, il figlio della governante, e lo accusa di un crimine che non ha commesso. Questa bugia avrà conseguenze devastanti sulle vite di tutti. Un romanzo potente e commovente, che riflette sulla colpa, sull'espiazione e sul potere della scrittura. Un capolavoro della letteratura inglese contemporanea."|Letteratura - Opere 823.91 MCE
219|"L'ombra del vento"|"Zafón, Carlos Ruiz"|2004|"Barcellona, 1945. Daniel, un ragazzino, scopre in un luogo segreto, il Cimitero dei Libri Dimenticati, un libro di un autore sconosciuto, Julián Carax. Ne rimane affascinato e cerca di scoprire la sua storia, ma si ritrova coinvolto in un intrigo pericoloso. Un romanzo gotico, avvincente e pieno di mistero, che è un omaggio alla letteratura e al potere dei libri. Un bestseller mondiale."|Letteratura - Opere 863 ZAF
220|"La cattedrale del mare"|"Falcones, Ildefonso"|2007|"Barcellona, XIV secolo. La storia di Arnau, un servo della gleba che riesce a diventare un uomo libero e ricco, e che partecipa alla costruzione della cattedrale di Santa Maria del Mar, la ""cattedrale del popolo"". Un romanzo storico epico e appassionante, che racconta la vita nella Barcellona medievale, tra guerre, pestilenze, inquisizione e lotte sociali. Un altro grande bestseller spagnolo."|Letteratura - Opere 863 FAL
221|"La verità sul caso Harry Quebert"|"Dicker, Joël"|2013|"Marcus Goldman, un giovane scrittore in crisi creativa, va a trovare il suo vecchio professore e mentore, Harry Quebert. Ma Quebert viene arrestato per l'omicidio di una ragazza scomparsa trent'anni prima. Marcus, convinto della sua innocenza, inizia a indagare. Un thriller mozzafiato, pieno di colpi di scena e di false piste, che è anche una riflessione sulla scrittura, sull'amore e sull'America. Un successo editoriale clamoroso."|Letteratura - Opere 843.92 DIC
222|"La ragazza di carta"|"Musso, Guillaume"|2011|"Tom Boyd, uno scrittore famoso, è in crisi depressiva. Un giorno, cade in casa sua una ragazza che sostiene di essere Billie, la protagonista del suo ultimo romanzo, finita nel mondo reale a causa di un errore di stampa. Un romanzo che unisce la commedia romantica, il thriller e il fantastico. Una storia originale e avvincente, che gioca con i confini tra realtà e finzione."|Letteratura - Opere 843.92 MUS
223|"L'uomo che piantava gli alberi"|"Giono, Jean"|1996|"Il racconto dell'incontro con Elzéard Bouffier, un pastore solitario che, con pazienza e dedizione, passa la sua vita a piantare alberi in una landa desolata della Provenza, trasformandola in una foresta rigogliosa. Un apologo ecologico, un inno alla natura e alla capacità dell'uomo di compiere gesti semplici ma grandiosi. Un testo breve ma di una bellezza e di una potenza straordinarie."|Letteratura - Opere 843.91 GIO
224|Seta|"Baricco, Alessandro"|1996|"Hervé Joncour è un commerciante di bachi da seta che, per affari, viaggia dalla Francia al Giappone. Lì, incontra una ragazza misteriosa, di cui si innamora senza mai scambiare una parola. Un romanzo breve, etereo e sensuale, scritto con uno stile musicale e leggero. Una storia d'amore delicata e struggente, che è diventata un cult della letteratura italiana contemporanea."|Letteratura - Opere 853.91 BAR
225|Novecento|"Baricco, Alessandro"|1994|"La storia di Danny Boodman T.D. Lemon Novecento, un pianista straordinario, nato e vissuto tutta la vita su un transatlantico, senza mai scendere a terra. Un monologo teatrale che è diventato un libro di culto. Una favola poetica e malinconica, che parla di musica, di amicizia, di oceano e dei limiti del mondo. Una scrittura magica e inconfondibile."|Letteratura - Opere 853.91 BAR
226|"Va' dove ti porta il cuore"|"Tamaro, Susanna"|1994|"Una nonna, sapendo di avere poco da vivere, scrive una lunga lettera alla nipote lontana, per raccontarle la sua vita e i segreti della sua famiglia. Un romanzo epistolare che ha avuto un enorme successo di pubblico. Una storia che parla di affetti, di incomprensioni, di dolore e della ricerca della propria strada. Un libro che invita a seguire la voce del cuore."|Letteratura - Opere 853.91 TAM
227|"Io non ho paura"|"Ammaniti, Niccolò"|2001|"Michele, un bambino di nove anni, scopre per caso un suo coetaneo tenuto prigioniero in un buco. Un romanzo di formazione che racconta la perdita dell'innocenza e il coraggio di un bambino di fronte al male compiuto dagli adulti. Ambientato in un'estate torrida del sud Italia, ha un'atmosfera tesa e claustrofobica. Un libro potente, che ha consacrato Ammaniti come uno dei più importanti scrittori italiani."|Letteratura - Opere 853.91 AMM

